2024-11-16 23:14:55 : ===================== 2024-11-16T23:14:55.166510 =====================
2024-11-16 23:14:55 : ===================== FINE-TUNING ON PROMPT 1 =====================
2024-11-16 23:14:55 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[1], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p1.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p1/p1.pt', device='cuda', log=PosixPath('logs/finetune-p1.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:14:55 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:00 : Train/Eval/Test: 1076/349/358
2024-11-16 23:15:00 : Started training loop for p1.pt
2024-11-16 23:15:04 : 1/80 | 0/68: 36.85863
2024-11-16 23:15:06 : 1/80 | 1/68: 27.11819
2024-11-16 23:15:08 : 1/80 | 2/68: 15.97180
2024-11-16 23:15:10 : 1/80 | 3/68: 10.21027
2024-11-16 23:15:12 : 1/80 | 4/68: 7.15426
2024-11-16 23:15:14 : 1/80 | 5/68: 4.89317
2024-11-16 23:15:16 : 1/80 | 6/68: 4.17075
2024-11-16 23:15:18 : 1/80 | 7/68: 2.42527
2024-11-16 23:15:20 : 1/80 | 8/68: 1.88642
2024-11-16 23:15:22 : 1/80 | 9/68: 1.43026
2024-11-16 23:15:24 : 1/80 | 10/68: 1.51909
2024-11-16 23:15:26 : 1/80 | 11/68: 1.69907
2024-11-16 23:15:28 : 1/80 | 12/68: 0.88712
2024-11-16 23:15:30 : 1/80 | 13/68: 1.06596
2024-11-16 23:15:33 : 1/80 | 14/68: 0.71706
2024-11-16 23:15:35 : 1/80 | 15/68: 1.11026
2024-11-16 23:15:37 : 1/80 | 16/68: 1.18065
2024-11-16 23:15:39 : 1/80 | 17/68: 0.96668
2024-11-16 23:15:41 : 1/80 | 18/68: 0.63292
2024-11-16 23:15:43 : 1/80 | 19/68: 0.69810
2024-11-16 23:15:45 : 1/80 | 20/68: 0.83409
2024-11-16 23:15:47 : 1/80 | 21/68: 0.71811
2024-11-16 23:15:49 : 1/80 | 22/68: 0.57341
2024-11-16 23:15:51 : 1/80 | 23/68: 0.56868
2024-11-16 23:15:53 : 1/80 | 24/68: 0.50343
2024-11-16 23:15:55 : 1/80 | 25/68: 0.60991
2024-11-16 23:15:57 : 1/80 | 26/68: 0.48879
2024-11-16 23:15:59 : 1/80 | 27/68: 0.32493
2024-11-16 23:16:01 : 1/80 | 28/68: 0.62870
2024-11-16 23:16:03 : 1/80 | 29/68: 0.56428
