2024-11-15 13:39:15 : ===================== 2024-11-15T13:39:15.445313 =====================
2024-11-15 13:39:15 : ===================== FINE-TUNING ON PROMPT 5 =====================
2024-11-15 13:39:17 : Started training loop for p5.pt
2024-11-15 13:39:20 : 0/80 | 0/69: nan
2024-11-15 13:39:22 : 0/80 | 1/69: nan
2024-11-15 13:39:23 : 0/80 | 2/69: nan
2024-11-15 13:39:25 : 0/80 | 3/69: nan
2024-11-15 13:39:27 : 0/80 | 4/69: nan
2024-11-15 13:39:28 : 0/80 | 5/69: nan
2024-11-15 13:39:30 : 0/80 | 6/69: nan
2024-11-15 13:39:32 : 0/80 | 7/69: nan
2024-11-15 13:39:33 : 0/80 | 8/69: nan
2024-11-15 13:39:35 : 0/80 | 9/69: nan
2024-11-15 13:39:36 : 0/80 | 10/69: nan
2024-11-15 13:39:38 : 0/80 | 11/69: nan
2024-11-15 13:39:39 : 0/80 | 12/69: nan
2024-11-15 13:39:41 : 0/80 | 13/69: nan
2024-11-15 13:39:43 : 0/80 | 14/69: nan
2024-11-15 13:39:44 : 0/80 | 15/69: nan
2024-11-15 13:39:46 : 0/80 | 16/69: nan
2024-11-15 13:39:47 : 0/80 | 17/69: nan
2024-11-15 13:39:49 : 0/80 | 18/69: nan
2024-11-15 13:39:50 : 0/80 | 19/69: nan
2024-11-15 13:39:52 : 0/80 | 20/69: nan
2024-11-15 13:39:53 : 0/80 | 21/69: nan
2024-11-15 13:39:55 : 0/80 | 22/69: nan
2024-11-15 13:39:56 : 0/80 | 23/69: nan
2024-11-15 13:39:58 : 0/80 | 24/69: nan
2024-11-15 13:39:59 : 0/80 | 25/69: nan
2024-11-15 13:40:01 : 0/80 | 26/69: nan
2024-11-15 13:40:02 : 0/80 | 27/69: nan
2024-11-15 13:40:04 : 0/80 | 28/69: nan
2024-11-15 13:40:05 : 0/80 | 29/69: nan
2024-11-15 13:40:07 : 0/80 | 30/69: nan
2024-11-15 13:40:08 : 0/80 | 31/69: nan
2024-11-15 13:40:10 : 0/80 | 32/69: nan
2024-11-15 13:40:11 : 0/80 | 33/69: nan
2024-11-15 13:40:13 : 0/80 | 34/69: nan
2024-11-15 13:40:14 : 0/80 | 35/69: nan
2024-11-15 13:40:16 : 0/80 | 36/69: nan
2024-11-15 13:40:17 : 0/80 | 37/69: nan
2024-11-15 13:40:18 : 0/80 | 38/69: nan
2024-11-15 13:40:20 : 0/80 | 39/69: nan
2024-11-15 13:40:21 : 0/80 | 40/69: nan
2024-11-15 13:40:23 : 0/80 | 41/69: nan
2024-11-15 13:40:24 : 0/80 | 42/69: nan
2024-11-15 13:40:26 : 0/80 | 43/69: nan
2024-11-15 13:40:27 : 0/80 | 44/69: nan
2024-11-15 13:40:29 : 0/80 | 45/69: nan
2024-11-15 13:40:30 : 0/80 | 46/69: nan
2024-11-15 13:40:32 : 0/80 | 47/69: nan
2024-11-15 13:40:33 : 0/80 | 48/69: nan
2024-11-15 13:40:35 : 0/80 | 49/69: nan
2024-11-15 13:40:36 : 0/80 | 50/69: nan
2024-11-15 13:40:38 : 0/80 | 51/69: nan
2024-11-15 13:40:39 : 0/80 | 52/69: nan
2024-11-15 13:40:40 : 0/80 | 53/69: nan
2024-11-15 13:40:42 : 0/80 | 54/69: nan
2024-11-15 13:40:43 : 0/80 | 55/69: nan
2024-11-15 13:40:45 : 0/80 | 56/69: nan
2024-11-15 13:40:46 : 0/80 | 57/69: nan
2024-11-15 13:40:48 : 0/80 | 58/69: nan
2024-11-15 13:40:49 : 0/80 | 59/69: nan
2024-11-15 13:40:51 : 0/80 | 60/69: nan
2024-11-15 13:40:52 : 0/80 | 61/69: nan
2024-11-15 13:40:54 : 0/80 | 62/69: nan
2024-11-15 13:40:55 : 0/80 | 63/69: nan
2024-11-15 13:40:57 : 0/80 | 64/69: nan
2024-11-15 13:40:58 : 0/80 | 65/69: nan
2024-11-15 13:40:59 : 0/80 | 66/69: nan
2024-11-15 13:41:01 : 0/80 | 67/69: nan
2024-11-15 13:41:02 : 0/80 | 68/69: nan
